60705,I251,I469
42152,I251,I219
34784,I251,I500
27051,I10,I469
26889,I500,I469
25385,J449,J969
25250,J189,A419
23961,J189,J969
23090,I10,I251
21815,I219,I469
19903,A419,I469
19518,F03,R628
18318,I10,I500
18302,J449,I469
16376,J189,I469
16085,J969,I469
14526,I10,I219
13687,N390,A419
13392,J449,J189
13178,I10,I64
12231,I500,J969
11997,F03,I469
11641,C349,I469
11085,C349,J969
10795,A419,J969
10759,E149,I251
10655,W80,T179
10357,E149,I469
10058,X70,T71
9732,I251,I499
9723,I48,I500
9551,X44,T509
9509,J189,J960
9205,X74,S019
9193,J449,I500
9013,I64,I469
8492,G309,R628
8173,I10,E149
8138,J449,J960
7974,I250,I119
7934,J690,J969
7831,I48,I64
7780,E149,I10
7496,I48,I469
7478,R628,I469
7473,I469,G931
7245,I251,I255
7010,E785,I10
6891,A419,R688
6884,I251,I219,I469
6842,R13,J690
6716,I500,I251
6669,G309,I469
6620,I499,I469
6601,I709,I469
6498,J449,C349
6404,F03,J690
6370,F03,J189
6299,I500,J449
6230,N185,I469
6199,J449,R092
6185,I350,I500
6172,I500,J189
6102,E149,I219
6037,A419,J189
6020,R688,I469
6008,C80,C349
5916,I500,I219
5858,I10,I48
5766,I255,I500
5706,I251,J969
5679,J449,I251
5654,I429,I469
5596,N19,I469
5588,I10,J449
5568,N179,A419
5552,I10,I251,I469
5523,E149,I500
5333,J961,J960
5295,I429,I500
5294,I10,F03
5272,J960,I469
5259,C349,J189
5232,A419,J960
5212,I251,J449
5190,E785,I251
5174,C793,C349
5151,N189,N179
5098,J690,A419
5057,I250,I469
4929,I251,R092
4901,J969,A419
4840,E119,I251
4825,I500,R092
4779,N179,I469
4761,F03,J969
4746,I250,I219
4726,B182,K746
4722,I64,J969
4712,K746,K729
4707,I219,R570
4700,C80,I469
4679,I709,I251
4668,J690,I469
4646,R99,I469
4637,I251,I500,I469
4579,I251,I509
4575,N189,I500
4469,I10,N185
4369,I10,I619
4348,J441,J449
4313,J189,R092
4201,N189,I469
4114,I500,J960
4113,I119,I250
4087,R092,I469
4070,I709,I219
4009,I10,N189
3997,C349,R092
3991,I251,I10
3977,R688,A419
3947,X72,S019
3945,N19,J969
3848,F03,R53
3845,T424,X44
3809,I48,I251
3772,A047,A419
3742,I10,J969
3726,I251,I429
3720,E119,I469
3697,W80,J690
3643,J690,J960
3634,I219,I500
3630,F179,J449
3625,E149,N185
3601,I251,I48
3598,J189,A419,I469
3597,I269,I469
3581,I255,I469
3576,I64,J690
3567,I10,I251,I219
3530,X42,T401
3522,I251,I461
3513,X45,T510
3512,I10,I499
3512,C189,I469
3491,N19,I500
3472,I251,R570
3451,J449,J961
3445,C509,I469
3444,I10,N19
3415,N19,A419
3386,K559,A419
3383,X42,T402
3383,R628,F03
3359,T71,T71
3353,I10,E119
3298,J969,J189
3295,K922,I469
3269,J841,J969
3261,G309,J690
3261,F03,R13
3252,I709,I64
3239,I802,I269
3224,I509,I469
3224,A419,R092
3223,I10,R092
3219,J189,J449
3213,C795,C349
3192,J449,I219
3163,G931,I469
3159,F03,R092
3159,N390,I469
3157,E785,I219
3130,I251,I64
3120,V892,T07
3119,I251,J189
3100,J449,A419
3083,F03,A419
3068,I251,I490
3066,W19,S099
3054,E149,N19
3042,I469,J969
3040,C259,I469
3032,I119,I469
3025,I250,I500
3025,E785,I469
2987,J189,I500
2963,I10,I629
2960,T71,X70
2955,E119,I10
2952,T71,X70,T71
2944,N185,A419
2942,F03,I500
2868,X95,T019
2847,I259,I469
2845,G309,J189
2835,F03,I251
2822,X45,T519
2806,K746,I469
2787,I10,I500,I469
2778,I259,I500
2771,I500,I499
2765,I10,I250
2756,I119,I500
2736,I10,R628
2719,I500,A419
2666,T402,X44
2662,C80,J969
2628,I709,I500
2626,C349,J960
2618,C787,C349
2615,R53,I469
2604,I10,I709
2603,I219,J969
2595,X95,S019
