A000,A000,,,0
A000,A009,,,0
A001,A001,A009,,0
A009,A009,,,0
A010,A010,,,0
A010,A014,,,0
A010,B200,B24,,0
A010,C000,C969,,0
A010,D800,D899,,0
A010,Y632,,,0
A010,Y842,,,0
A011,A011,,,0
A011,A014,,,0
A011,B200,B24,,0
A011,C000,C969,,0
A011,D800,D899,,0
A011,Y632,,,0
A011,Y842,,,0
A012,A012,,,0
A012,A014,,,0
A012,B200,B24,,0
A012,C000,C969,,0
A012,D800,D899,,0
A012,Y632,,,0
A012,Y842,,,0
A013,A013,A014,,0
A013,B200,B24,,0
A013,C000,C969,,0
A013,D800,D899,,0
A013,Y632,,,0
A013,Y842,,,0
A014,A014,,,0
A014,B200,B24,,0
A014,C000,C969,,0
A014,D800,D899,,0
A014,Y632,,,0
A014,Y842,,,0
A020,A020,A029,,0
A020,B200,B24,,0
A020,C000,C969,,0
A020,D800,D899,,0
A020,Y632,,,0
A020,Y842,,,0
A021,A020,A029,,0
A021,B200,B24,,0
A021,C000,C969,,0
A021,D800,D899,,0
A021,Y632,,,0
A021,Y842,,,0
A022,A020,A029,,0
A022,B200,B24,,0
A022,C000,C969,,0
A022,D800,D899,,0
A022,Y632,,,0
A022,Y842,,,0
A028,A020,A029,,0
A028,B200,B24,,0
A028,C000,C969,,0
A028,D800,D899,,0
A028,Y632,,,0
A028,Y842,,,0
A029,A020,A029,,0
A029,B200,B24,,0
A029,C000,C969,,0
A029,D800,D899,,0
A029,Y632,,,0
A029,Y842,,,0
A030,A030,,,0
A030,A039,,,0
A030,B200,B24,,0
A030,C000,C969,,0
A030,D800,D899,,0
A030,Y632,,,0
A030,Y842,,,0
A031,A031,,,0
A031,A039,,,0
A031,B200,B24,,0
A031,C000,C969,,0
A031,D800,D899,,0
A031,Y632,,,0
A031,Y842,,,0
A032,A032,,,0
A032,A039,,,0
A032,B200,B24,,0
A032,C000,C969,,0
A032,D800,D899,,0
A032,Y632,,,0
A032,Y842,,,0
A033,A033,,,0
A033,A039,,,0
A033,B200,B24,,0
A033,C000,C969,,0
A033,D800,D899,,0
A033,Y632,,,0
A033,Y842,,,0
A038,A038,A039,,0
A038,B200,B24,,0
A038,C000,C969,,0
A038,D800,D899,,0
A038,Y632,,,0
A038,Y842,,,0
A039,A039,,,0
A039,B200,B24,,0
A039,C000,C969,,0
A039,D800,D899,,0
A039,Y632,,,0
A039,Y842,,,0
A040,A000,Z999,,0
A041,A000,Z999,,0
A042,A000,Z999,,0
A043,A000,Z999,,0
A044,A000,Z999,,0
A045,A000,Z999,,0
A046,A000,Z999,,0
A047,A000,Z999,,0
A048,A000,Z999,,0
A049,A000,Z999,,0
A050,A000,Z999,,0
A051,A051,,,0
A051,A059,,,0
A052,A000,Z999,,0
A053,A000,Z999,,0
A054,A000,Z999,,0
A058,A000,Z999,,0
A059,A000,Z999,,0
A060,A000,Z999,,0
A061,A000,Z999,,0
A062,A000,Z999,,0
A063,A000,Z999,,0
A064,A000,Z999,,0
A065,A000,Z999,,0
A066,A000,Z999,,0
A067,A000,Z999,,0
A068,A000,Z999,,0
A069,A000,Z999,,0
A070,A000,Z999,,0
A071,A000,Z999,,0
A072,A000,Z999,,0
A073,A000,Z999,,0
A078,A000,Z999,,0
A079,A000,Z999,,0
A080,A000,Z999,,0
A081,A000,Z999,,0
A082,A000,Z999,,0
A083,A000,Z999,,0
A084,A000,Z999,,0
A085,A000,Z999,,0
A090,A000,Z999,,0
A099,A000,Z999,,0
A150,A150,A199,,0
A150,B200,B24,,0
A150,C000,C969,,0
A150,D800,D899,,0
A150,R75,,,0
A150,Y632,,,0
A150,Y842,,,0
A151,A151,A199,,0
A151,B200,B24,,0
A151,C000,C969,,0
A151,D800,D899,,0
A151,R75,,,0
A151,Y632,,,0
A151,Y842,,,0
A152,A152,A199,,0
A152,B200,B24,,0
A152,C000,C969,,0
A152,D800,D899,,0
A152,R75,,,0
A152,Y632,,,0
A152,Y842,,,0
A153,A153,A199,,0
A153,B200,B24,,0
A153,C000,C969,,0
A153,D800,D899,,0
A153,R75,,,0
A153,Y632,,,0
A153,Y842,,,0
A154,A154,A199,,0
A154,B200,B24,,0
A154,C000,C969,,0
A154,D800,D899,,0
A154,R75,,,0
A154,Y632,,,0
A154,Y842,,,0
A155,A155,A199,,0
A155,B200,B24,,0
A155,C000,C969,,0
A155,D800,D899,,0
A155,R75,,,0
A155,Y632,,,0
A155,Y842,,,0
A156,A156,A199,,0
A156,B200,B24,,0
A156,C000,C969,,0
A156,D800,D899,,0
A156,R75,,,0
A156,Y632,,,0
A156,Y842,,,0
A157,A157,A199,,0
A157,B200,B24,,0
A157,C000,C969,,0
A157,D800,D899,,0
